dialog_key,annot_relevant_mean,score_PMI_Pair,score_MINE_Pair,score_InfoNCE_Pair,score_PMI_Prompt,score_MINE_Prompt,score_InfoNCE_Prompt,score_KDE_Pair,score_KDE_Prompt
human|zh/KdConv/KdConv-turn_eval.json,5.0,17.335457,19.03402,5.4583235,4.854745,13.163727,1.9199364,5.639188,1.4361612
human|zh/KdConv/KdConv-turn_eval.json,5.0,15.238607,17.839039,5.9674273,5.6745768,11.89316,0.8290064,3.1374252,1.2703923
human|zh/KdConv/KdConv-turn_eval.json,4.333333333333333,16.9993,19.760117,9.316124,4.867485,14.960098,-4.2757454,1.5566194,0.5890138
human|zh/KdConv/KdConv-turn_eval.json,4.0,12.08653,16.849808,4.387725,0.827561,-18.389772,-6.4576683,-0.2963168,-0.52978474
human|zh/KdConv/KdConv-turn_eval.json,5.0,12.503973,18.800875,4.887633,3.306602,-3.7570066,-5.734645,0.470516,0.11402628
human|zh/KdConv/KdConv-turn_eval.json,5.0,0.147516,-9.300679,-4.8439736,2.6970334,-8.958274,-4.7089715,1.0810935,-0.6916405
human|zh/KdConv/KdConv-turn_eval.json,5.0,17.34362,19.781792,7.8500414,6.5312824,18.48926,0.25027335,1.9428427,0.9386505
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.300837,19.913288,2.7538679,5.0432186,12.008824,0.014892807,2.003606,-0.034781255
human|zh/KdConv/KdConv-turn_eval.json,3.333333333333333,18.226864,19.871761,5.4289293,1.1443282,-19.23346,-7.855003,1.6938568,-0.6729542
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.61948,19.988276,10.410862,7.8656473,19.411196,-1.5131289,2.080294,1.8046521
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.11038,19.967636,7.432935,2.915828,4.8999825,-2.6131644,0.7604371,0.88700044
human|zh/KdConv/KdConv-turn_eval.json,5.0,15.517376,18.921892,0.02835853,6.979847,18.507729,1.1880484,-1.4762648,2.779541
human|zh/KdConv/KdConv-turn_eval.json,4.666666666666667,17.243605,19.803585,3.7846425,4.667121,1.7108889,-5.1913624,0.04327731,-0.231591
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.690208,19.99708,11.223629,7.5285745,18.363626,0.6626565,5.513098,2.3677728
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.795324,19.947311,0.8106928,7.9953837,18.925913,1.1954566,2.339648,2.8446896
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.448372,19.985844,8.176497,8.548958,19.411669,3.1790555,1.5001132,1.6699516
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.786623,19.959452,10.058533,7.2250013,18.921436,-1.3174562,3.8283725,0.7748948
human|zh/KdConv/KdConv-turn_eval.json,4.0,16.88128,19.593706,3.1951377,7.738538,18.835247,-2.5722802,0.7428332,1.1309258
human|zh/KdConv/KdConv-turn_eval.json,5.0,17.370375,19.835825,2.1430585,8.293335,19.105003,0.96946144,1.8667039,1.7630128
human|zh/KdConv/KdConv-turn_eval.json,5.0,15.70115,19.42148,7.9747634,7.178006,18.518064,0.5883114,2.9404702,0.19106932
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.564053,19.9876,6.491241,7.6078744,17.25952,2.4703674,2.425604,1.3111517
human|zh/KdConv/KdConv-turn_eval.json,5.0,12.457495,18.54027,8.051496,9.106701,19.690891,2.7452695,0.8877759,0.99156153
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.763792,19.956491,7.0399,5.0946703,15.871105,-0.02331778,6.049639,0.48737496
